time,sp,sensor,sensor filtered,e,p,i,d,control signal
time,sp,sensor,sensor filtered,e,p,i,d,control signal
time,sp,sensor,sensor filtered,e,p,i,d,control signal
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,14.91,0.0,0
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,20.54,0.0,259.1211
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,32.63,0.0,264.7511
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,42.85,0.0,276.84110000000004
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,54.94,0.0,287.0611
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,65.78,0.0,299.15110000000004
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,77.56,0.0,309.9911
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,88.19,0.0,321.77110000000005
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,97.57,0.0,332.40110000000004
16:49:3,1347.0,0,0.0,1347.0,244.21110000000002,109.46,0.0,341.78110000000004
16:49:4,1347.0,0,0.0,1347.0,244.21110000000002,117.18,0.0,353.6711
16:49:4,1347.0,0,0.0,1347.0,244.21110000000002,129.17,0.0,361.39110000000005
16:49:4,1347.0,480,47.999999999999986,1299.0,235.50870000000003,139.63,-0.0,373.3811
16:49:4,1347.0,480,91.19999999999997,1255.8,227.67654000000002,150.42,-0.0,375.13870000000003
16:49:4,1347.0,480,130.07999999999998,1216.92,220.62759600000004,160.03,-0.0,378.09654
16:49:4,1347.0,480,165.07199999999997,1181.928,214.28354640000003,170.28,-0.0,380.657596
16:49:4,1347.0,1440,292.5648,1054.4352,191.16910176,179.67,-0.0,384.56354640000006
16:49:4,1347.0,1440,407.30832,939.69168,170.366101584,186.94,-0.0,370.83910175999995
16:49:4,1347.0,1440,510.577488,836.422512,151.64340142560002,194.32,-0.0,357.306101584
16:49:5,1347.0,1440,603.5197392,743.4802608,134.79297128304,200.13,-0.0,345.9634014256
16:49:5,1347.0,1440,687.16776528,659.83223472,119.62758415473601,206.05,-0.0,334.92297128304
16:49:5,1347.0,1920,810.4509887520001,536.5490112479999,97.2763357392624,210.33,-0.0,325.677584154736
16:49:5,1347.0,1920,921.4058898768001,425.5941101231999,77.16021216533615,214.02,-0.0,307.6063357392624
16:49:5,1347.0,1920,1021.26530088912,325.73469911088,59.05570094880255,216.62,-0.0,291.1802121653362
16:49:5,1347.0,1920,1111.138770800208,235.86122919979198,42.76164085392229,218.68,-0.0,275.67570094880256
16:49:5,1347.0,2160,1216.0248937201873,130.97510627981274,23.745786768530053,219.86,-0.0,261.4416408539223
16:49:5,1347.0,2160,1310.4224043481686,36.577595651831416,6.631518091677036,220.14,-0.0,243.60578676853007
16:49:5,1347.0,2160,1395.3801639133517,-48.38016391335168,-8.77132371749066,219.71,-0.0,226.77151809167702
16:49:6,1347.0,2160,1471.8421475220166,-124.8421475220166,-22.633881345741614,218.75,-0.0,210.93867628250933
