time,sp,sensor,sensor filtered,e,p,i,d,control signal
20:4:35,1500.0,0,0.0,1500.0,300.6,15.35,0.0,0
20:4:35,1500.0,0,0.0,1500.0,300.6,27.96,0.0,315.95000000000005
20:4:35,1500.0,0,0.0,1500.0,300.6,43.16,0.0,328.56
20:4:35,1500.0,0,0.0,1500.0,300.6,60.94,0.0,343.76
20:4:36,1500.0,0,0.0,1500.0,300.6,75.98,0.0,361.54
20:4:36,1500.0,0,0.0,1500.0,300.6,93.45,0.0,376.58000000000004
20:4:36,1500.0,0,0.0,1500.0,300.6,110.62,0.0,394.05
20:4:36,1500.0,0,0.0,1500.0,300.6,125.97,0.0,411.22
20:4:36,1500.0,0,0.0,1500.0,300.6,143.44,0.0,426.57000000000005
20:4:36,1500.0,0,0.0,1500.0,300.6,158.48,0.0,444.04
20:4:36,1500.0,17,1.6999999999999997,1498.3,300.25932,175.78,-0.0,459.08000000000004
20:4:36,1500.0,17,3.2299999999999995,1496.77,299.95270800000003,190.64,-0.0,476.03932
20:4:36,1500.0,17,4.606999999999999,1495.393,299.67675720000005,208.21,-0.0,490.592708
20:4:37,1500.0,17,5.846299999999999,1494.1537,299.42840148000005,223.35,-0.0,507.88675720000003
20:4:37,1500.0,17,6.96167,1493.03833,299.20488133200007,240.89,-0.0,522.7784014800001
20:4:37,1500.0,66,12.865502999999999,1487.134497,298.0217531988,256.26,-0.0,540.0948813320001
20:4:37,1500.0,66,18.178952699999996,1481.8210473,296.95693787892003,273.07,-0.0,554.2817531988001
20:4:37,1500.0,66,22.961057429999997,1477.03894257,295.998604091028,288.78,-0.0,570.0269378789201
20:4:37,1500.0,66,27.264951686999996,1472.735048313,295.13610368192525,305.49,-0.0,584.778604091028
20:4:37,1500.0,66,31.138456518299996,1468.8615434817,294.3598533137327,322.45,-0.0,600.6261036819253
20:4:37,1500.0,115,39.52461086647,1460.47538913353,292.6792679823594,337.39,-0.0,616.8098533137327
20:4:37,1500.0,115,47.072149779823,1452.927850220177,291.1667411841235,354.46,-0.0,630.0692679823594
20:4:38,1500.0,115,53.864934801840704,1446.1350651981593,289.8054670657111,369.11,-0.0,645.6267411841235
20:4:38,1500.0,115,59.97844132165663,1440.0215586783434,288.58032035914005,386.03,-0.0,658.9154670657111
20:4:38,1500.0,146,68.58059718949097,1431.419402810509,286.856448323226,401.11,-0.0,674.61032035914
20:4:38,1500.0,146,76.32253747054187,1423.6774625294581,285.30496349090345,417.12,-0.0,687.966448323226
20:4:38,1500.0,146,83.29028372348769,1416.7097162765124,283.9086271418131,431.61,-0.0,702.4249634909035
20:4:38,1500.0,146,89.56125535113891,1410.438744648861,282.6519244276318,447.33,-0.0,715.5186271418131
20:4:38,1500.0,146,95.20512981602502,1404.794870183975,281.5208919848686,463.84,-0.0,729.9819244276318
20:4:38,1500.0,168,102.48461683442252,1397.5153831655775,280.0620827863818,478.0,-0.0,745.3608919848687
20:4:38,1500.0,168,109.03615515098028,1390.9638448490198,278.7491545077436,494.49,-0.0,758.0620827863818
20:4:38,1500.0,168,114.93253963588225,1385.0674603641178,277.5675190569692,508.8,-0.0,773.2391545077436
20:4:39,1500.0,168,120.23928567229403,1379.760714327706,276.5040471512723,524.73,-0.0,786.3675190569693
20:4:39,1500.0,180,126.21535710506463,1373.7846428949354,275.30644243614506,538.92,-0.0,801.2340471512723
20:4:39,1500.0,180,131.59382139455815,1368.406178605442,274.22859819253057,554.58,-0.0,814.226442436145
20:4:39,1500.0,180,136.43443925510232,1363.5655607448978,273.25853837327753,569.08,-0.0,828.8085981925306
20:4:39,1500.0,180,140.79099532959208,1359.209004670408,272.3854845359498,584.23,-0.0,842.3385383732775
20:4:39,1500.0,180,144.71189579663286,1355.288104203367,271.5997360823548,600.29,-0.0,856.6154845359498
20:4:39,1500.0,176,147.84070621696958,1352.1592937830305,270.97272247411934,613.85,-0.0,871.8897360823548
20:4:39,1500.0,176,150.65663559527263,1349.3433644047273,270.40841022670736,629.98,-0.0,884.8227224741194
20:4:39,1500.0,176,153.19097203574538,1346.8090279642547,269.9005292040367,643.49,-0.0,900.3884102267074
20:4:40,1500.0,176,155.47187483217084,1344.528125167829,269.443436283633,658.88,-0.0,913.3905292040367
20:4:40,1500.0,176,157.52468734895376,1342.4753126510464,269.0320526552697,674.66,-0.0,928.323436283633
20:4:40,1500.0,180,159.7722186140584,1340.2277813859416,268.5816473897427,688.1,-0.0,943.6920526552697
20:4:40,1500.0,180,161.79499675265257,1338.2050032473473,268.1762826507684,703.96,-0.0,956.6816473897427
20:4:40,1500.0,180,163.61549707738732,1336.3845029226127,267.8114543856916,717.5,-0.0,972.1362826507684
20:4:40,1500.0,180,165.25394736964859,1334.7460526303514,267.48310894712245,732.64,-0.0,985.3114543856916
20:4:40,1500.0,187,167.42855263268373,1332.5714473673163,267.0473180524102,732.64,-0.0,1000
20:4:40,1500.0,187,169.38569736941534,1330.6143026305847,266.6551062471692,747.87,-0.0,999.6873180524102
20:4:40,1500.0,187,171.1471276324738,1328.8528723675263,266.3021156224523,747.87,-0.0,1000
20:4:41,1500.0,187,172.7324148692264,1327.2675851307736,265.98442406020706,747.87,-0.0,1000
20:4:41,1500.0,187,174.15917338230375,1325.8408266176962,265.6985016541863,747.87,-0.0,1000
20:4:41,1500.0,192,175.94325604407337,1324.0567439559265,265.3409714887677,747.87,-0.0,1000
time,sp,sensor,sensor filtered,e,p,i,d,control signal
20:6:0,1500.0,0,0.0,1500.0,300.6,17.47,0.0,0
20:6:0,1500.0,0,0.0,1500.0,300.6,32.38,0.0,318.07000000000005
20:6:0,1500.0,0,0.0,1500.0,300.6,49.85,0.0,332.98
20:6:0,1500.0,0,0.0,1500.0,300.6,65.06,0.0,350.45000000000005
20:6:0,1500.0,0,0.0,1500.0,300.6,82.23,0.0,365.66
20:6:1,1500.0,0,0.0,1500.0,300.6,99.7,0.0,382.83000000000004
20:6:1,1500.0,0,0.0,1500.0,300.6,114.76,0.0,400.3
20:6:1,1500.0,0,0.0,1500.0,300.6,132.08,0.0,415.36
20:6:1,1500.0,0,0.0,1500.0,300.6,147.14,0.0,432.68000000000006
20:6:1,1500.0,0,0.0,1500.0,300.6,164.61,0.0,447.74
20:6:1,1500.0,0,0.0,1500.0,300.6,180.27,0.0,465.21000000000004
20:6:1,1500.0,0,0.0,1500.0,300.6,197.14,0.0,480.87
20:6:1,1500.0,0,0.0,1500.0,300.6,210.84,0.0,497.74
20:6:1,1500.0,0,0.0,1500.0,300.6,227.86,0.0,511.44000000000005
20:6:2,1500.0,600,59.999999999999986,1440.0,288.576,242.61,-0.0,528.46
20:6:2,1500.0,600,113.99999999999997,1386.0,277.75440000000003,257.92,-0.0,531.186
20:6:2,1500.0,600,162.59999999999997,1337.4,268.01496000000003,273.5,-0.0,535.6744000000001
20:6:2,1500.0,600,206.33999999999997,1293.66,259.24946400000005,286.36,-0.0,541.51496
